"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6198","A5: Logout invalidates session @critical","firefox","2026-07-12","passed","2026-07-12","Login Page — Authentication Flows","auth/login.spec.ts","",""
"","803","F5: Required field missing triggers client-side validation @critical","chromium","2026-07-12","passed","2026-07-12","Form Validation Page","forms/form-validation.spec.ts","",""
"","14","Q1 — API root returns valid response @smoke","chromium","2026-07-12","passed","2026-07-12","Practice API @regression","api/practice-api.spec.ts","",""
"","27","P5 — Invalid payload: empty title @critical","chromium","2026-07-12","passed","2026-07-12","Notes API — Advanced @regression","api/notes-advanced.spec.ts","",""
"","1294","F7 — Select single option from dropdown @critical","chromium","2026-07-12","passed","2026-07-12","Dropdown Page @regression","forms/dropdown.spec.ts","",""
"","13974","F7 — Select single option from dropdown @critical","webkit","2026-07-12","passed","2026-07-12","Dropdown Page @regression","forms/dropdown.spec.ts","",""
"","3062","A6: Valid registration completes successfully @smoke","chromium","2026-07-12","passed","2026-07-12","Registration Page","auth/register.spec.ts","",""
"","51","Q2 — Unauthenticated request returns 401 @critical","chromium","2026-07-12","passed","2026-07-12","Practice API @regression","api/practice-api.spec.ts","",""
"","3297","N2 — Trigger and assert 404 Not Found @critical","firefox","2026-07-12","passed","2026-07-12","Status Codes Page @regression","network/status-codes.spec.ts","",""
"","13","P6 — Auth boundary: expired token returns 401 @critical","chromium","2026-07-12","passed","2026-07-12","Notes API — Advanced @regression","api/notes-advanced.spec.ts","",""
"","172","P6 — Auth boundary: no token returns 401 @critical","firefox","2026-07-12","passed","2026-07-12","Notes API — Advanced @regression","api/notes-advanced.spec.ts","",""
"","13879","N2 — Trigger and assert 404 Not Found @critical","webkit","2026-07-12","passed","2026-07-12","Status Codes Page @regression","network/status-codes.spec.ts","",""
"","23","P6 — Auth boundary: invalid token returns 401 @critical","chromium","2026-07-12","passed","2026-07-12","Notes API — Advanced @regression","api/notes-advanced.spec.ts","",""
"","113","P1 — Get all notes returns array @critical","webkit","2026-07-12","passed","2026-07-12","Notes API — Core CRUD @regression","api/notes-crud.spec.ts","",""
"","39","Q1 — GET /health: API availability check @smoke","webkit","2026-07-12","passed","2026-07-12","Practice API @regression","api/practice-api.spec.ts","",""
"","5435","R2 — Edit existing note via UI @critical","webkit","2026-07-12","passed","2026-07-12","React Notes Application — UI @regression","notes-app/notes-app-ui.spec.ts","",""
"","16294","N1 — Trigger and assert 200 OK @critical","webkit","2026-07-12","passed","2026-07-12","Status Codes Page @regression","network/status-codes.spec.ts","",""
"","2879","A13: Valid OTP code proceeds authentication @critical","chromium","2026-07-12","skipped","2026-07-12","OTP Authentication Flow","auth/otp.spec.ts","",""
"","3375","N2 — Trigger and assert 301 Redirect @critical","firefox","2026-07-12","passed","2026-07-12","Status Codes Page @regression","network/status-codes.spec.ts","",""
"","25095","Y4 — Drag slider to specific value via mouse @critical","webkit","2026-07-12","failed","2026-07-12","Horizontal Slider Page @regression","async-content/horizontal-slider.spec.ts","",""
"","32","P1 — Get all notes returns array @critical","chromium","2026-07-12","passed","2026-07-12","Notes API — Core CRUD @regression","api/notes-crud.spec.ts","",""
"","12992","B7 — Mock specific coordinates (London) and assert display @critical","firefox","2026-07-12","passed","2026-07-12","Geolocation Page @regression","browser-apis/geolocation.spec.ts","",""
"","50","Q2 — Unauthenticated request returns 401 @critical","webkit","2026-07-12","passed","2026-07-12","Practice API @regression","api/practice-api.spec.ts","",""
"","26645","V1 — Drag element A to drop zone B @critical @flaky","webkit","2026-07-12","passed","2026-07-12","Drag and Drop Page @regression","advanced-ui/drag-drop.spec.ts","",""
"","1487","N4 — Detect broken images on page @critical","chromium","2026-07-12","passed","2026-07-12","Broken Images Page @regression","network/broken-images.spec.ts","",""
"","19613","A9: Duplicate user registration fails @critical","firefox","2026-07-12","passed","2026-07-12","Registration Page","auth/register.spec.ts","",""
"","2013","D1 — Extract Chrome CPU value without static locators @critical","firefox","2026-07-12","passed","2026-07-12","Dynamic Table Page @regression","dynamic-dom/dynamic-table.spec.ts","",""
"","48","P5 — Invalid payload: empty title @critical","webkit","2026-07-12","passed","2026-07-12","Notes API — Advanced @regression","api/notes-advanced.spec.ts","",""
"","54","P6 — Auth boundary: invalid token returns 401 @critical","webkit","2026-07-12","passed","2026-07-12","Notes API — Advanced @regression","api/notes-advanced.spec.ts","",""
"","3212","A7: Password mismatch shows validation error @critical","chromium","2026-07-12","passed","2026-07-12","Registration Page","auth/register.spec.ts","",""
"","1321","B1 — Locate element inside shadow DOM root @critical","chromium","2026-07-12","passed","2026-07-12","Shadow DOM Page @regression","browser-apis/shadow-dom.spec.ts","",""
"","3547","V1 — Drag element A to drop zone B @critical @flaky","firefox","2026-07-12","passed","2026-07-12","Drag and Drop Page @regression","advanced-ui/drag-drop.spec.ts","",""
"","3228","A13: Valid OTP code proceeds authentication @critical","firefox","2026-07-12","skipped","2026-07-12","OTP Authentication Flow","auth/otp.spec.ts","",""
"","119","Q1 — GET /health: API availability check @smoke","firefox","2026-07-12","passed","2026-07-12","Practice API @regression","api/practice-api.spec.ts","",""
"","82","Q2 — Unauthenticated request returns 401 @critical","firefox","2026-07-12","passed","2026-07-12","Practice API @regression","api/practice-api.spec.ts","",""
"","114","P1 — Create note with valid payload @smoke","firefox","2026-07-12","passed","2026-07-12","Notes API — Core CRUD @regression","api/notes-crud.spec.ts","",""
"","4211","B4 — Interact with element inside internal iFrame @critical","firefox","2026-07-12","passed","2026-07-12","iFrame Page @regression","browser-apis/iframe.spec.ts","",""
"","3611","R4 — Cross-layer validation: Create via UI, verify via API @critical","chromium","2026-07-12","passed","2026-07-12","React Notes Application — UI @regression","notes-app/notes-app-ui.spec.ts","",""
"","25112","V5 — Upload valid file under 500KB @critical","webkit","2026-07-12","passed","2026-07-12","File Upload Page @regression","advanced-ui/file-upload.spec.ts","",""
"","276","P4 — Delete note and verify 404 @critical","firefox","2026-07-12","passed","2026-07-12","Notes API — Core CRUD @regression","api/notes-crud.spec.ts","",""
"","14185","D1 — Extract Chrome CPU value without static locators @critical","webkit","2026-07-12","passed","2026-07-12","Dynamic Table Page @regression","dynamic-dom/dynamic-table.spec.ts","",""
"","6834","R4 — Cross-layer validation: Create via UI, verify via API @critical","webkit","2026-07-12","passed","2026-07-12","React Notes Application — UI @regression","notes-app/notes-app-ui.spec.ts","",""
"","1520","U8 — Open new window and validate content @critical","chromium","2026-07-12","passed","2026-07-12","Windows / Tabs Page @regression","ui-components/windows.spec.ts","",""
"","17534","B11 — Hover to reveal tooltip @critical","webkit","2026-07-12","passed","2026-07-12","Tooltips Page @regression","browser-apis/tooltips.spec.ts","",""
"","1085","F5: Required field missing triggers client-side validation @critical","firefox","2026-07-12","passed","2026-07-12","Form Validation Page","forms/form-validation.spec.ts","",""
"","2910","N7 — Follow redirect and assert final URL @critical","chromium","2026-07-12","passed","2026-07-12","Redirect Page @regression","network/redirect.spec.ts","",""
"","20320","A9: Duplicate user registration fails @critical","chromium","2026-07-12","passed","2026-07-12","Registration Page","auth/register.spec.ts","",""
"","12945","B7 — Mock specific coordinates (London) and assert display @critical","chromium","2026-07-12","passed","2026-07-12","Geolocation Page @regression","browser-apis/geolocation.spec.ts","",""
"","12752","A3: Invalid password shows specific error @critical","webkit","2026-07-12","passed","2026-07-12","Login Page — Authentication Flows","auth/login.spec.ts","",""
"","763","F4: Submit valid form succeeds @critical","chromium","2026-07-12","passed","2026-07-12","Form Validation Page","forms/form-validation.spec.ts","",""
"","3058","A6: Valid registration completes successfully @smoke","firefox","2026-07-12","passed","2026-07-12","Registration Page","auth/register.spec.ts","",""
"","4976","R1 — Create a new note via UI @smoke","firefox","2026-07-12","passed","2026-07-12","React Notes Application — UI @regression","notes-app/notes-app-ui.spec.ts","",""
"","5825","A5: Logout invalidates session @critical","chromium","2026-07-12","passed","2026-07-12","Login Page — Authentication Flows","auth/login.spec.ts","",""
"","3422","U3 — Select each radio option @critical","chromium","2026-07-12","passed","2026-07-12","Radio Buttons Page @regression","ui-components/radio-buttons.spec.ts","",""
"","2872","A2: Invalid username shows specific error @critical","chromium","2026-07-12","passed","2026-07-12","Login Page — Authentication Flows","auth/login.spec.ts","",""
"","3895","Y4 — Drag slider to specific value via mouse @critical","firefox","2026-07-12","passed","2026-07-12","Horizontal Slider Page @regression","async-content/horizontal-slider.spec.ts","",""
"","388","P3 — Update note (full update) @critical","firefox","2026-07-12","passed","2026-07-12","Notes API — Core CRUD @regression","api/notes-crud.spec.ts","",""
"","3198","A1: Successful login with valid credentials @smoke","chromium","2026-07-12","passed","2026-07-12","Login Page — Authentication Flows","auth/login.spec.ts","",""
